brand,name,flaver,weight_g,kcal,protein,fat,fiber,ash,moisture,Ca,P,taurine,made
好味小姐,1+1貓奶粉⁺幼母貓主食罐,厚奶鱸魚,81,104,13.7,8.5,,2.1,73.5,0.4,0.3,150.1,台灣
好味小姐,1+1益生菌｜半濕食主食罐,雞肉莓果,81,95.7,13.1,7.5,,1.6,75.4,0.2,0.2,150,台灣
好味小姐,1+1益生菌｜半濕食主食罐,綜合野味,81,96.8,13.1,7.9,,1.6,75.6,0.2,0.2,150,台灣
好味小姐,1+1益生菌｜半濕食主食罐,綜合海陸,81,94.6,13.1,7.7,,1.6,76.1,0.2,0.2,150,台灣
好味小姐,1+1益生菌｜半濕食主食罐,綜合蝦貝,81,92.8,12.3,7.4,,1.7,76.2,0.2,0.2,150,台灣
好味小姐,1+1益生菌｜半濕食主食罐,四種魚．白肉,81,96.6,12.2,8,,1.6,75.6,0.2,0.2,150,台灣
好味小姐,1+1益生菌｜半濕食主食罐,四種魚．紅肉,81,98.7,12.1,8.3,,1.6,75.2,0.2,0.2,150,台灣
Wellness寵物健康,CORE+ 主食貓罐,雞肉+鮪魚泥,79,66,11,3.5,3,,78,0.12,0.1,79,美國
Wellness寵物健康,CORE+ 主食貓罐,鮪魚+鮭魚泥,79,66,11,6.5,2,,78,0.12,0.1,,美國
Wellness寵物健康,CORE+ 主食貓罐,鮪魚+羅非魚泥,79,66,11,4,2,,78,0.12,0.1,,美國
Wellness寵物健康,CORE+ 主食貓罐,鴨肉+雞肉泥,79,66,10.5,6,2,,78,0.12,0.1,,美國
Wellness寵物健康,CORE+ 主食貓罐,鮮雞肉泥,79,66,11,6,2.6,,78,0.12,0.1,79,美國
Wellness寵物健康,CORE+ 主食貓罐,雞肉+雞肝,85,81,11,4,2,,78,,,85,美國
Wellness寵物健康,CORE+ DH 腸胃消化機能主食貓罐,新鮮雞肉,85,111,12.9,10.6,1,2.2,74.8,0.44,0.33,162,美國
Wellness寵物健康,CORE+ DH 腸胃消化機能主食貓罐,新鮮白鮭魚,85,93,11,6.8,0.1,2,76.5,0.43,0.3,128,美國
Wellness寵物健康,CORE+ DH 腸胃消化機能主食貓罐,新鮮鮭魚,85,109,12.7,10.6,1.2,2.5,74,0.52,0.38,136,美國
Wellness寵物健康,CORE+ DH 腸胃消化機能主食貓罐,新鮮火雞肉,85,107,12.3,9.7,1,2.4,75,0.55,0.37,153,美國
Wellness寵物健康,CORE® 無穀肉醬主食貓罐,雞肉+火雞+雞肝,85,120,15.8,11.8,0.4,3.4,71.9,0.7,0.62,220,美國
Wellness寵物健康,CORE® 無穀肉醬主食貓罐,火雞+鴨肉,85,125,17.4,13.6,0.5,2.9,71.7,0.84,0.54,204,美國
Wellness寵物健康,CORE® 無穀肉醬主食貓罐,白魚+鮭魚+鯡魚,85,125,15.4,7.4,0.8,3.8,76,0.89,0.58,204,美國
Wellness寵物健康,CORE® 無穀肉醬主食貓罐,幼貓(雞肉+火雞),85,114,15.2,10.9,3,3.5,73.4,0.55,0.55,187,美國
Wellness寵物健康,CORE® 無穀肉醬主食貓罐,幼貓(雞肉+鮭魚泥),85,113,14,9.5,0.9,4,73.3,0.7,0.62,969,美國
Wellness寵物健康,CORE® 無穀 肉片主食貓罐,雞肉&火雞,155,154,16.6,8.9,0.4,3.5,77.2,0.5,0.45,264,美國
Wellness寵物健康,CORE® 無穀 肉片主食貓罐,雞肉&鮪魚,155,148,17.5,7.8,0.4,3.5,77.4,0.51,0.47,264,美國
Wellness寵物健康,CORE® 無穀 肉片主食貓罐,鮭魚&火雞肉,155,130,16.9,6.2,0.4,3.5,78.6,0.4,0.4,294,美國
Wellness寵物健康,CORE® 無穀 肉片主食貓罐,室內貓 雞肉&火雞肉,155,133,15.6,7.7,1.8,3.4,77.3,0.53,0.45,248,美國
Wellness寵物健康,CORE® DD 主食餐杯,火雞肉塊+雞肉泥,79,74,5,5.7,,1,80.5,0.16,0.11,55,美國
Wellness寵物健康,CORE® DD 主食餐杯,鴨肉塊+雞肉泥,79,71,5.2,6.4,0.1,1.1,79.4,0.17,0.12,55,美國
Wellness寵物健康,CORE® DD 主食餐杯,鮭魚肉塊+雞肉泥,79,77,5,5.3,0.1,1.1,81.1,0.17,0.13,55,美國
Wellness寵物健康,CORE® DD 主食餐杯,鮭魚肉塊+鮪魚泥,79,70,5.5,5.3,,1,80.7,0.16,0.12,55,美國
Cherie 法麗,全照護主食罐,雞肉佐番茄慕斯,80,63,8,1.5,1,3,83,0.11,0.09,32,泰國
Cherie 法麗,全照護主食罐,鮪魚佐鯖魚慕斯,80,92,12,3,1,4,77,0.14,0.12,40,泰國
Cherie 法麗,全照護主食罐,鮪魚佐鮭魚慕斯,80,92,11,3,1,4,77,0.13,0.12,40,泰國
Cherie 法麗,全照護主食罐,鮪魚佐鯛魚慕斯,80,92,12,3,1,4,77,0.14,0.12,40,泰國
Cherie 法麗,全照護主食罐,雞肉慕斯,,65.6,10,2,1,3,83,0.11,0.085,27,泰國
Cherie 法麗,全照護主食罐,鮪魚慕斯,80,81.6,14.5,2.5,1,4,79,0.13,0.11,41,泰國
Cherie 法麗,全照護主食罐,雞肉佐鮪魚慕斯,80,68,10,2,1,3,83,0.1,0.09,24,泰國
Cherie 法麗,全照護主食罐,雞肉佐南瓜慕斯,80,64.8,9.5,2,1,3,84,0.096,0.08,26,泰國
Cherie 法麗,全照護主食罐,雞肉佐紅蘿蔔慕斯,80,64.8,9.5,2,1,3,84,0.096,0.08,26,泰國
Cherie 法麗,全方位無膠主食罐,雞肉慕斯佐鮪魚,80,119.2,8,5,1,6,73,0.27,0.22,48,泰國
Cherie 法麗,全方位無膠主食罐,雞肉慕斯佐雞肉,80,119.2,8,5,1,6,73,0.27,0.22,48,泰國
Cherie 法麗,全方位無膠主食罐,雞肉慕斯佐雞心,80,119.2,8,5,1,6,73,0.27,0.22,48,泰國
Cherie 法麗,全方位無膠主食罐,鮪魚慕斯佐鮪魚,80,125.6,8,5,1,6,71,0.29,0.24,48,泰國
Cherie 法麗,全方位無膠主食罐,鮪魚慕斯佐鮮蝦,80,125.6,8,5,1,6,71,0.29,0.24,48,泰國
Cherie 法麗,全方位無膠主食罐,鮪魚慕斯佐鯛魚,80,125.6,8,5,1,6,71,0.29,0.24,48,泰國
Natural Kitty 自然小貓,98%動物性蛋白質主食罐,鮪魚佐鯛魚口味,70,53.2,7,1.5,1,3,84,,0.08,,泰國
Natural Kitty 自然小貓,98%動物性蛋白質主食罐,鯖魚佐鮪魚口味,70,52.5,6,2,1,3,85,,0.08,,泰國
Natural Kitty 自然小貓,98%動物性蛋白質主食罐,鮪魚佐沙丁魚口味,70,52.5,7,1.5,1,3,85,,0.08,,泰國
Natural Kitty 自然小貓,98%動物性蛋白質主食罐,鮪魚佐雞肉口味,70,51.8,7,1.5,1,3,84,,0.08,,泰國
Natural Kitty 自然小貓,98%動物性蛋白質主食罐,天然嫩雞口味,70,46.9,8,1.4,1,3,85,,0.08,,泰國
Natural Kitty 自然小貓,98%動物性蛋白質主食罐,雞肉佐雞心口味,70,43.4,7,1.3,1,3,87,,0.07,,泰國
